"Sample nr","Sampled by","Publication year","Year","Date","Location","Site","New site name","SSTD+N 8YM","JANUARY","FEBRUARY","MARCH","APRIL","MAY","JUNE","JULY","AUGUST","SEPTEMBER","OCTOBER","NOVEMBER","DECEMBER","Distance to coast (km)","Shelf position","Shelf specifics","GPS","Latitude1","Latitude2","Latitude","Longitude1","Longitude2","Longitude","Order","Family","Genus","Species","Sample comment","Sample ID","Depth (m)","Depth (as per reference literature)","Side","DNA Region","Clade 1","Clade 2","ITS1 subclade 1","ITS1 subclade 2 ","ITS1 subclade 3 ","ITS2 subclade 1","ITS2 subclade 2","ITS2 subclade 3","ITS1 type","ITS2 type"
791,"LaJeunesse",2004,2003,"May 2003","Central GBR","Rib reef north","Rib reef north",26.2033,28.5514,29.0685,28.1698,27.2353,25.8619,24.5552,23.5827,23.3862,24.1041,25.3484,26.7778,27.8041,56,"Mid","Midshelf exposed","18°28'S, 146°52'E","18°28'S","1828",18.4666666667,"146°52'E",1465200,146.8666666667,"Alcyonacea","Melithaeidae","Acabaria","Acabaria sp. (Gorgonian-azooxanthellate)",,250,12.50,"10-15 m",,"ITS2",,,,,,,,,,
278,"LaJeunesse",2004,2003,"May 2003","Central GBR","Curacao Island (MPN18-1805)","Curacao Island (MPN18-1805)",26.2227,29.2391,29.4328,28.3477,27.1292,25.6023,23.9470,22.8827,22.9078,24.0768,25.5880,27.2654,28.2580,20.78,"Inner",,"18°30'S, 146°32'E","18°30'S","1830",18.5,"146°32'E",1463200,146.5333333333,"Scleractinia","Acroporidae","Acropora","Acropora aculeus",,390,6.00,"5-7 m",,"ITS2","C",,,,,"C3h",,,,"C3h"
737,"van Oppen",2001,,,"Central GBR","Pioneer Bay","Pioneer Bay",26.41,30.155,29.7426,29.1086,27.5495,26.6573,22.996,22.23,23.0097,23.9348,27.42,25.0644,28.5026,0.3,"Inner",,"18°35'S, 146°20'E","18°35'S","1835",18.5833333333,"146°20'E",1462000,146.3333333333,"Scleractinia","Acroporidae","Acropora","Acropora aculeus",,"M215",,,,"ITS1","C",,"C1",,,"C1",,,"C1","C1"
797,"LaJeunesse",2004,2003,"May 2003","Central GBR","Rib reef north","Rib reef north",26.2033,28.5514,29.0685,28.1698,27.2353,25.8619,24.5552,23.5827,23.3862,24.1041,25.3484,26.7778,27.8041,56,"Mid","Midshelf exposed","18°28'S, 146°52'E","18°28'S","1828",18.4666666667,"146°52'E",1465200,146.8666666667,"Scleractinia","Acroporidae","Acropora","Acropora cerealis",,215,12.50,"10-15 m",,"ITS2","C",,"C2",,,"C3",,,"C2","C3"
798,"LaJeunesse",2004,2003,"May 2003","Central GBR","Rib reef north","Rib reef north",26.2033,28.5514,29.0685,28.1698,27.2353,25.8619,24.5552,23.5827,23.3862,24.1041,25.3484,26.7778,27.8041,56,"Mid","Midshelf exposed","18°28'S, 146°52'E","18°28'S","1828",18.4666666667,"146°52'E",1465200,146.8666666667,"Scleractinia","Acroporidae","Acropora","Acropora cerealis",,240,4.50,"4-5 m",,"ITS2","C",,,,,"C3i",,,,"C3i"
799,"LaJeunesse",2004,2003,"May 2003","Central GBR","Rib reef north","Rib reef north",26.2033,28.5514,29.0685,28.1698,27.2353,25.8619,24.5552,23.5827,23.3862,24.1041,25.3484,26.7778,27.8041,56,"Mid","Midshelf exposed","18°28'S, 146°52'E","18°28'S","1828",18.4666666667,"146°52'E",1465200,146.8666666667,"Scleractinia","Acroporidae","Acropora","Acropora cytherea",,236,4.50,"4-5 m",,"ITS2","C",,,,,"C3k",,,,"C3k"
279,"LaJeunesse",2004,2003,"May 2003","Central GBR","Curacao Island (MPN18-1805)","Curacao Island (MPN18-1805)",26.2227,29.2391,29.4328,28.3477,27.1292,25.6023,23.9470,22.8827,22.9078,24.0768,25.5880,27.2654,28.2580,20.78,"Inner",,"18°30'S, 146°32'E","18°30'S","1830",18.5,"146°32'E",1463200,146.5333333333,"Scleractinia","Acroporidae","Acropora","Acropora digitifera",,407,1.50,"1-2 m",,"ITS2","C",,,,,"C3i",,,,"C3i"
280,"LaJeunesse",2004,2003,"May 2003","Central GBR","Curacao Island (MPN18-1805)","Curacao Island (MPN18-1805)",26.2227,29.2391,29.4328,28.3477,27.1292,25.6023,23.9470,22.8827,22.9078,24.0768,25.5880,27.2654,28.2580,20.78,"Inner",,"18°30'S, 146°32'E","18°30'S","1830",18.5,"146°32'E",1463200,146.5333333333,"Scleractinia","Acroporidae","Acropora","Acropora digitifera",,408,1.50,"1-2 m",,"ITS2","C",,,,,"C3i",,,,"C3i"
800,"LaJeunesse",2004,2003,"May 2003","Central GBR","Rib reef north","Rib reef north",26.2033,28.5514,29.0685,28.1698,27.2353,25.8619,24.5552,23.5827,23.3862,24.1041,25.3484,26.7778,27.8041,56,"Mid","Midshelf exposed","18°28'S, 146°52'E","18°28'S","1828",18.4666666667,"146°52'E",1465200,146.8666666667,"Scleractinia","Acroporidae","Acropora","Acropora digitifera",,302,4.50,"4-5 m",,"ITS2","C",,,,,"C3k",,,,"C3k"
801,"LaJeunesse",2004,2003,"May 2003","Central GBR","Rib reef north","Rib reef north",26.2033,28.5514,29.0685,28.1698,27.2353,25.8619,24.5552,23.5827,23.3862,24.1041,25.3484,26.7778,27.8041,56,"Mid","Midshelf exposed","18°28'S, 146°52'E","18°28'S","1828",18.4666666667,"146°52'E",1465200,146.8666666667,"Scleractinia","Acroporidae","Acropora","Acropora florida",,303,4.50,"4-5 m",,"ITS2","C",,,,,"C3k",,,,"C3k"
